Ident,Type,Origin,Origin Name,Origin City,Destination,Destination Name,Destination City,Departure Time,Arrival Time,Enroute
SWA5792,B737,KDAL,Dallas Love Fld,"Dallas, TX",KABQ,Albuquerque Intl Sunport,"Albuquerque, NM",2017-02-11 18:26:00,2017-02-11 18:54:00,1:27
SWA2423,B733,KPHX,Phoenix Sky Harbor Intl,"Phoenix, AZ",KABQ,Albuquerque Intl Sunport,"Albuquerque, NM",2017-02-11 19:04:00,2017-02-11 19:49:00,0:45
ASH5964,CRJ9,KABQ,Albuquerque Intl Sunport,"Albuquerque, NM",KPHX,Phoenix Sky Harbor Intl,"Phoenix, AZ",2017-02-11 19:09:00,2017-02-11 20:06:00,0:57
N305LG,BE20,KAPA,Centennial,"Denver, CO",KABQ,Albuquerque Intl Sunport,"Albuquerque, NM",2017-02-11 19:09:00,2017-02-11 20:25:00,1:16
AAL2568,B738,KDFW,Dallas-Fort Worth Intl,"Dallas-Fort Worth, TX",KABQ,Albuquerque Intl Sunport,"Albuquerque, NM",2017-02-11 19:11:00,2017-02-11 19:35:00,1:24
UAL438,A319,KDEN,Denver Intl,"Denver, CO",KABQ,Albuquerque Intl Sunport,"Albuquerque, NM",2017-02-11 19:16:00,2017-02-11 20:11:00,0:55
SWA3195,B737,KLAS,Harry Reid Intl,"Las Vegas, NV",KABQ,Albuquerque Intl Sunport,"Albuquerque, NM",2017-02-11 19:38:00,2017-02-11 21:37:00,0:58
DAL1225,MD90,KATL,Hartsfield-Jackson Intl,"Atlanta, GA",KABQ,Albuquerque Intl Sunport,"Albuquerque, NM",2017-02-11 19:38:00,2017-02-11 20:31:00,2:53
ASH5905,CRJ9,KPHX,Phoenix Sky Harbor Intl,"Phoenix, AZ",KABQ,Albuquerque Intl Sunport,"Albuquerque, NM",2017-02-11 19:55:00,2017-02-11 20:41:00,0:46
N306LG,,KABQ,Albuquerque Intl Sunport,"Albuquerque, NM",L 35.57010 -107.17800,"Albuquerque, NM","Albuquerque, NM",2017-02-11 20:06:00,,n/a
N388AV,,KPHX,Phoenix Sky Harbor Intl,"Phoenix, AZ",KABQ,Albuquerque Intl Sunport,"Albuquerque, NM",2017-02-11 20:27:00,2017-02-11 21:48:00,1:21
AMF1234,BE99,KPHX,Phoenix Sky Harbor Intl,"Phoenix, AZ",KABQ,Albuquerque Intl Sunport,"Albuquerque, NM",2017-02-11 20:27:00,2017-02-11 21:50:00,1:22
SWA2647,B738,KDEN,Denver Intl,"Denver, CO",KABQ,Albuquerque Intl Sunport,"Albuquerque, NM",2017-02-11 20:37:00,2017-02-11 21:33:00,0:56
BLK9,GLF4,KABQ,Albuquerque Intl Sunport,"Albuquerque, NM",KBUR,Bob Hope,"Burbank, CA",2017-02-11 20:48:00,2017-02-11 21:31:00,1:42
N477FN,,KABQ,Albuquerque Intl Sunport,"Albuquerque, NM",KBUR,Bob Hope,"Burbank, CA",2017-02-11 20:49:00,2017-02-11 21:32:00,1:43
N1281K,RV6,5T6,,,KABQ,Albuquerque Intl Sunport,"Albuquerque, NM",2017-02-11 20:50:00,2017-02-11 14:35:00,0:45
BLK2,PC12,KGUP,Gallup Muni,"Gallup, NM",KABQ,Albuquerque Intl Sunport,"Albuquerque, NM",2017-02-11 21:07:00,2017-02-11 21:36:00,0:28
CPZ6014,E75L,KLAX,Los Angeles Intl,"Los Angeles, CA",KABQ,Albuquerque Intl Sunport,"Albuquerque, NM",2017-02-11 21:43:00,2017-02-12 00:10:00,1:27
BLK27,LJ35,KABQ,Albuquerque Intl Sunport,"Albuquerque, NM",KNUQ,Moffett Federal Airfield,"Mountain View, CA",2017-02-11 22:17:00,2017-02-11 23:38:00,2:21
ASH5911,CRJ9,KPHX,Phoenix Sky Harbor Intl,"Phoenix, AZ",KABQ,Albuquerque Intl Sunport,"Albuquerque, NM",2017-02-11 23:03:00,2017-02-11 23:50:00,0:46
BLK2,PC12,KABQ,Albuquerque Intl Sunport,"Albuquerque, NM",KGUP,Gallup Muni,"Gallup, NM",2017-02-11 23:28:00,2017-02-12 00:00:00,0:32
BLK27,LJ35,KNUQ,Moffett Federal Airfield,"Mountain View, CA",KABQ,Albuquerque Intl Sunport,"Albuquerque, NM",2017-02-12 01:54:00,2017-02-12 04:51:00,1:57
N912NM,PC12,KFMN,Four Corners Rgnl,"Farmington, NM",KABQ,Albuquerque Intl Sunport,"Albuquerque, NM",2017-02-12 02:18:00,2017-02-12 02:58:00,0:40
BLK5,BE9L,KGUP,Gallup Muni,"Gallup, NM",KABQ,Albuquerque Intl Sunport,"Albuquerque, NM",2017-02-12 04:14:00,2017-02-12 04:43:00,0:29
N912NM,PC12,KABQ,Albuquerque Intl Sunport,"Albuquerque, NM",KFMN,Four Corners Rgnl,"Farmington, NM",2017-02-12 04:15:00,2017-02-12 04:50:00,0:35
N911NM,B429,L 35.08363 -106.63120,"Albuquerque, NM","Albuquerque, NM",KABQ,Albuquerque Intl Sunport,"Albuquerque, NM",2017-02-12 04:21:00,2017-02-12 04:23:00,0:02
N911NM,B429,KABQ,Albuquerque Intl Sunport,"Albuquerque, NM",L 35.70900 -107.28100,"Albuquerque, NM","Albuquerque, NM",2017-02-12 04:48:00,,n/a
AAL2611,B738,KABQ,Albuquerque Intl Sunport,"Albuquerque, NM",KDFW,Dallas-Fort Worth Intl,"Dallas-Fort Worth, TX",2017-02-12 05:07:00,2017-02-12 07:26:00,1:19
DAL2123,B712,KABQ,Albuquerque Intl Sunport,"Albuquerque, NM",KSLC,Salt Lake City Intl,"Salt Lake City, UT",2017-02-12 06:05:00,2017-02-12 07:13:00,1:08
CPZ6066,E75L,KABQ,Albuquerque Intl Sunport,"Albuquerque, NM",KLAX,Los Angeles Intl,"Los Angeles, CA",2017-02-12 06:13:00,2017-02-12 06:48:00,1:35
